序号,项目序号,编号,名称,类别,公布时间,类型,申报地区或单位,保护单位
1,122,Ⅲ-19,弦子舞(芒康弦子舞),传统舞蹈,2006(第一批),新增项目,西藏自治区,西藏自治区昌都市芒康县文化局
2,123,Ⅲ-20,锅庄舞(昌都锅庄舞),传统舞蹈,2006(第一批),新增项目,西藏自治区,西藏自治区昌都市卡若区文化局
3,124,Ⅲ-21,热巴舞(丁青热巴),传统舞蹈,2006(第一批),新增项目,西藏自治区,西藏自治区昌都市丁青县文化局
4,124,Ⅲ-21,热巴舞(那曲比如丁嘎热巴),传统舞蹈,2006(第一批),新增项目,西藏自治区,西藏那曲市比如县文化和旅游局
5,125,Ⅲ-22,日喀则扎什伦布寺羌姆,传统舞蹈,2006(第一批),新增项目,西藏自治区,日喀则地区扎什伦布寺管理委员会
6,125,Ⅲ-22,羌姆(拉康加羌姆),传统舞蹈,2011(第三批),扩展项目,西藏自治区洛扎县,西藏洛扎县文化局
7,125,Ⅲ-22,羌姆(直孔嘎尔羌姆),传统舞蹈,2011(第三批),扩展项目,西藏自治区墨竹工卡县,西藏拉萨市墨竹工卡县直孔替寺管理委员会
8,125,Ⅲ-22,羌姆(曲德寺阿羌姆),传统舞蹈,2011(第三批),扩展项目,西藏自治区贡嘎县,山南市贡嘎县贡嘎曲德寺管理委员会
9,125,Ⅲ-22,羌姆(桑耶寺羌姆),传统舞蹈,2014(第四批),扩展项目,西藏自治区扎囊县,山南市桑耶寺管理委员会
10,125,Ⅲ-22,羌姆(门巴族拔羌姆),传统舞蹈,2014(第四批),扩展项目,西藏自治区错那县,西藏错那县文化局(文物局)
11,125,Ⅲ-22,羌姆(江洛德庆曲林寺尼姑羌姆),传统舞蹈,2014(第四批),扩展项目,西藏自治区日喀则市,日喀则市桑珠孜区文化和旅游局
12,125,Ⅲ-22,羌姆(林芝米纳羌姆),传统舞蹈,2014(第四批),扩展项目,西藏自治区林芝县,西藏林芝市巴宜区文化和旅游局
13,142,Ⅲ-39,山南昌果卓舞,传统舞蹈,2006(第一批),新增项目,西藏自治区,贡嘎县文化局(文物局)
14,142,Ⅲ-39,卓舞(琼结久河卓舞),传统舞蹈,2014(第四批),扩展项目,西藏自治区琼结县,西藏琼结县文化局(文物局)
15,142,Ⅲ-39,卓舞(热振曲卓),传统舞蹈,2021(第五批),扩展项目,西藏自治区拉萨市,林周县文化和旅游局(林周县文物局)
16,142,Ⅲ-39,卓舞(斯马卓),传统舞蹈,2021(第五批),扩展项目,西藏自治区日喀则市,日喀则市桑珠孜区文化和旅游局
17,677,Ⅲ-80,宣舞(古格宣舞),传统舞蹈,2008(第二批),新增项目,西藏自治区札达县,札达县文化和旅游局
18,677,Ⅲ-80,宣舞(普堆巴宣舞),传统舞蹈,2008(第二批),新增项目,西藏自治区墨竹工卡县,墨竹工卡县文化和旅游局(墨竹工卡县文物局)
19,677,Ⅲ-80,宣舞(札达卡尔玛宣舞),传统舞蹈,2014(第四批),扩展项目,西藏自治区阿里地区,阿里地区群众艺术馆
20,678,Ⅲ-81,拉萨囊玛,传统舞蹈,2008(第二批),新增项目,西藏自治区拉萨市,拉萨市城关区娘热民间艺术有限公司
21,679,Ⅲ-82,堆谐(拉孜堆谐),传统舞蹈,2008(第二批),新增项目,西藏自治区拉孜县,西藏自治区拉孜县文化广播电影电视局
22,680,Ⅲ-83,谐钦(拉萨纳如谐钦),传统舞蹈,2008(第二批),新增项目,西藏自治区拉萨市城关区,拉萨市文化局
23,680,Ⅲ-83,谐钦(南木林土布加谐钦),传统舞蹈,2008(第二批),新增项目,西藏自治区南木林县,南木林县文化和旅游局
24,680,Ⅲ-83,谐钦(尼玛乡谐钦),传统舞蹈,2011(第三批),扩展项目,西藏自治区班戈县,西藏那曲市班戈县文化和旅游局
25,681,Ⅲ-84,阿谐(达布阿谐),传统舞蹈,2008(第二批),新增项目,西藏自治区比如县,西藏那曲市比如县文化和旅游局
26,682,Ⅲ-85,嘎尔,传统舞蹈,2008(第二批),新增项目,西藏自治区,西藏自治区群众艺术馆(西藏自治区非物质文化遗产保护中心)
27,683,Ⅲ-86,芒康三弦舞,传统舞蹈,2008(第二批),新增项目,西藏自治区芒康县,西藏自治区昌都市芒康县文化局
28,684,Ⅲ-87,定日洛谐,传统舞蹈,2008(第二批),新增项目,西藏自治区定日县,定日县文化和旅游局
29,685,Ⅲ-88,旦嘎甲谐,传统舞蹈,2008(第二批),新增项目,西藏自治区萨嘎县,萨嘎县文化和旅游局
30,686,Ⅲ-89,廓孜,传统舞蹈,2008(第二批),新增项目,西藏自治区曲水县,曲水县文化和旅游局(曲水县文物局)
31,1094,Ⅲ-105,协荣仲孜,传统舞蹈,2011(第三批),新增项目,西藏自治区曲水县,曲水县文化和旅游局(曲水县文物局)
32,1095,Ⅲ-106,普兰果尔孜,传统舞蹈,2011(第三批),新增项目,西藏自治区阿里地区,阿里地区群众艺术馆
33,1096,Ⅲ-107,陈塘夏尔巴歌舞,传统舞蹈,2011(第三批),新增项目,西藏自治区定结县,定结县文化和旅游局
